DS_CARGO;NM_CANDIDATO;SQ_CANDIDATO;NR_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DS_OCUPACAO;DT_NASCIMENTO;DS_GENERO;DS_GRAU_INSTRUCAO;DS_SIT_TOT_TURNO
VEREADOR;PEDRO LAZINA BACIL;1,6E+11;43703;DEFERIDO;43;PV;PARTIDO VERDE;EMPRESÁRIO;18/04/1962;MASCULINO;SUPERIOR INCOMPLETO;SUPLENTE
VEREADOR;MARIA SILVANI ARAUJO GONÇALVES;1,6E+11;11555;DEFERIDO;11;PP;PARTIDO PROGRESSISTA;OUTROS;03/01/1958;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;SUPLENTE
VEREADOR;AMAURI DE JESUS PEREIRA;1,6E+11;28000;INDEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;MILITAR REFORMADO;05/04/1963;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
VEREADOR;ARI BECKER;1,6E+11;27999;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;PROTÉTICO;23/04/1959;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;JOAO FLAUSINO DIAS;1,6E+11;14190;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;EMPRESÁRIO;28/06/1952;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
VEREADOR;ALBERTINO MARTINS FERREIRA;1,6E+11;27600;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;APOSENTADO (EXCETO SERVIDOR PÚBLICO);14/08/1955;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;RAPHAEL RODRIGUES DOS SANTOS;1,6E+11;30003;DEFERIDO;30;NOVO;PARTIDO NOVO;EMPRESÁRIO;17/02/1974;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
VEREADOR;EDVILSON DIAS DO NASCIMENTO;1,6E+11;17700;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);18/09/1967;MASCULINO;ENSINO MÉDIO COMPLETO;NÃO ELEITO
VEREADOR;VINICIUS DOS PASSOS;1,6E+11;18018;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;OUTROS;16/02/1989;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;MARIANA PAULO DA SILVEIRA;1,6E+11;43456;DEFERIDO;43;PV;PARTIDO VERDE;FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL;15/08/1976;FEMININO;SUPERIOR COMPLETO;SUPLENTE
